Hour of the day,Day,Day of the week,Conversions,Conv. rate,Conv. value,Currency code,Cost / conv.,Conv. value / cost,Clicks,Impr.,Cost,CTR,Avg. CPC
0,7/1/23,Saturday,0,0,0,USD,0,0,0,8,0.06,0.00%,0
0,7/2/23,Sunday,0,0.00%,0,USD,0,0,0,9,0.09,0.00%,0
0,7/3/23,Monday,0,0,0,USD,0,0,0,8,0.01,0.00%,0
0,7/4/23,Tuesday,0,0,0,USD,0,0,0,21,0.06,0.00%,0
0,7/5/23,Wednesday,0,0.00%,0,USD,0,0,0,13,0.17,0.00%,0
0,7/6/23,Thursday,0,0,0,USD,0,0,0,8,0.01,0.00%,0
0,7/7/23,Friday,0,0,0,USD,0,0,0,5,0.04,0.00%,0
0,7/8/23,Saturday,0,0.00%,0,USD,0,0,0,8,0.04,0.00%,0
0,7/9/23,Sunday,0,0.00%,0,USD,0,0,0,5,0.01,0.00%,0
0,7/10/23,Monday,0,0,0,USD,0,0,0,10,0.13,0.00%,0
0,7/11/23,Tuesday,0,0,0,USD,0,0,0,18,0.05,0.00%,0
0,7/12/23,Wednesday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,7/13/23,Thursday,0,0.00%,0,USD,0,0,1,1,0.01,100.00%,0.01
0,7/14/23,Friday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,7/15/23,Saturday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,7/16/23,Sunday,0,0,0,USD,0,0,0,6,0,0.00%,0
0,7/17/23,Monday,0,0,0,USD,0,0,0,6,0,0.00%,0
0,7/18/23,Tuesday,0,0.00%,0,USD,0,0,1,7,10.63,14.29%,10.63
0,7/19/23,Wednesday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,7/20/23,Thursday,0,0,0,USD,0,0,0,4,0,0.00%,0
0,7/21/23,Friday,0,0,0,USD,0,0,0,5,0,0.00%,0
0,7/22/23,Saturday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,7/23/23,Sunday,0,0.00%,0,USD,0,0,1,1,0.03,100.00%,0.03
0,7/24/23,Monday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,7/25/23,Tuesday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,7/26/23,Wednesday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,7/27/23,Thursday,0,0.00%,0,USD,0,0,1,2,0.03,50.00%,0.03
0,7/28/23,Friday,0,0,0,USD,0,0,0,0,0,0,0
0,7/29/23,Saturday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,7/30/23,Sunday,0,0,0,USD,0,0,0,3,0,0.00%,0
0,7/31/23,Monday,0,0,0,USD,0,0,0,0,0,0,0
0,8/1/23,Tuesday,0,0,0,USD,0,0,0,6,0,0.00%,0
0,8/2/23,Wednesday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,8/3/23,Thursday,0,0,0,USD,0,0,0,0,0,0,0
0,8/4/23,Friday,0,0,0,USD,0,0,0,0,0,0,0
0,8/5/23,Saturday,0,0,0,USD,0,0,0,0,0,0,0
0,8/6/23,Sunday,0,0,0,USD,0,0,0,3,0,0.00%,0
0,8/7/23,Monday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,8/8/23,Tuesday,0,0,0,USD,0,0,0,0,0,0,0
0,8/9/23,Wednesday,0,0,0,USD,0,0,0,0,0,0,0
0,8/10/23,Thursday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,8/11/23,Friday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,8/12/23,Saturday,0,0,0,USD,0,0,0,4,0,0.00%,0
0,8/13/23,Sunday,0,0,0,USD,0,0,0,5,0,0.00%,0
0,8/14/23,Monday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,8/15/23,Tuesday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,8/16/23,Wednesday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,8/17/23,Thursday,0,0,0,USD,0,0,0,3,0,0.00%,0
0,8/18/23,Friday,0,0.00%,0,USD,0,0,1,1,0.03,100.00%,0.03
0,8/19/23,Saturday,0,0,0,USD,0,0,0,4,0,0.00%,0
0,8/20/23,Sunday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,8/21/23,Monday,0,0.00%,0,USD,0,0,1,3,1.08,33.33%,1.08
0,8/22/23,Tuesday,0,0,0,USD,0,0,0,4,0,0.00%,0
0,8/23/23,Wednesday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,8/24/23,Thursday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,8/25/23,Friday,0,0,0,USD,0,0,0,15,0,0.00%,0
0,8/26/23,Saturday,0,0.00%,0,USD,0,0,2,20,7.31,10.00%,3.66
0,8/27/23,Sunday,0,0.00%,0,USD,0,0,1,13,4.97,7.69%,4.97
0,8/28/23,Monday,0,0,0,USD,0,0,0,25,0,0.00%,0
0,8/29/23,Tuesday,0,0,0,USD,0,0,0,10,0,0.00%,0
0,8/30/23,Wednesday,0,0,0,USD,0,0,0,10,0,0.00%,0
0,8/31/23,Thursday,0,0,0,USD,0,0,0,8,0,0.00%,0
0,9/1/23,Friday,0,0,0,USD,0,0,0,16,0,0.00%,0
0,9/2/23,Saturday,0,0,0,USD,0,0,0,25,0,0.00%,0
0,9/3/23,Sunday,0,0,0,USD,0,0,0,35,0,0.00%,0
0,9/4/23,Monday,0,0,0,USD,0,0,0,17,0,0.00%,0
0,9/5/23,Tuesday,0,0,0,USD,0,0,0,18,0,0.00%,0
0,9/6/23,Wednesday,0,0,0,USD,0,0,0,4,0,0.00%,0
0,9/7/23,Thursday,0,0,0,USD,0,0,0,0,0,0,0
0,9/8/23,Friday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/9/23,Saturday,1,100.00%,101.22,USD,1.59,63.66,1,2,1.59,50.00%,1.59
0,9/10/23,Sunday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/11/23,Monday,0,0,0,USD,0,0,0,0,0,0,0
0,9/12/23,Tuesday,0,0,0,USD,0,0,0,3,0,0.00%,0
0,9/13/23,Wednesday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/14/23,Thursday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/15/23,Friday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/16/23,Saturday,0,0,0,USD,0,0,0,0,0,0,0
0,9/17/23,Sunday,0,0,0,USD,0,0,0,3,0,0.00%,0
0,9/18/23,Monday,0,0,0,USD,0,0,0,0,0,0,0
0,9/19/23,Tuesday,0,0,0,USD,0,0,0,0,0,0,0
0,9/20/23,Wednesday,0,0,0,USD,0,0,0,0,0,0,0
0,9/21/23,Thursday,0,0,0,USD,0,0,0,0,0,0,0
0,9/22/23,Friday,0,0.00%,0,USD,0,0,1,1,0.01,100.00%,0.01
0,9/23/23,Saturday,0,0.00%,0,USD,0,0,1,3,0.03,33.33%,0.03
0,9/24/23,Sunday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/25/23,Monday,0,0,0,USD,0,0,0,0,0,0,0
0,9/26/23,Tuesday,0,0,0,USD,0,0,0,2,0,0.00%,0
0,9/27/23,Wednesday,0,0,0,USD,0,0,0,1,0,0.00%,0
0,9/28/23,Thursday,0,0,0,USD,0,0,0,0,0,0,0
0,9/29/23,Friday,0,0,0,USD,0,0,0,0,0,0,0
0,9/30/23,Saturday,0,0,0,USD,0,0,0,1,0,0.00%,0
1,7/1/23,Saturday,0,0,0,USD,0,0,0,3,0,0.00%,0
1,7/2/23,Sunday,0,0,0,USD,0,0,0,2,0,0.00%,0
1,7/3/23,Monday,0,0,0,USD,0,0,0,7,0.01,0.00%,0
1,7/4/23,Tuesday,0,0,0,USD,0,0,0,8,0.03,0.00%,0
1,7/5/23,Wednesday,0,0,0,USD,0,0,0,5,0.03,0.00%,0
1,7/6/23,Thursday,0,0.00%,0,USD,0,0,1,9,3.02,11.11%,3.02
1,7/7/23,Friday,0,0.00%,0,USD,0,0,0,6,0.07,0.00%,0
1,7/8/23,Saturday,0,0,0,USD,0,0,0,3,0.02,0.00%,0
1,7/9/23,Sunday,0,0.00%,0,USD,0,0,0,10,0.09,0.00%,0
1,7/10/23,Monday,0,0,0,USD,0,0,0,9,0.04,0.00%,0
1,7/11/23,Tuesday,0,0.00%,0,USD,0,0,0,15,0.08,0.00%,0
1,7/12/23,Wednesday,0,0.00%,0,USD,0,0,1,3,0.03,33.33%,0.03
1,7/13/23,Thursday,0,0.00%,0,USD,0,0,1,1,0.41,100.00%,0.41
1,7/14/23,Friday,0,0,0,USD,0,0,0,7,0,0.00%,0
1,7/15/23,Saturday,0,0.00%,0,USD,0,0,1,3,0.01,33.33%,0.01
1,7/16/23,Sunday,0,0.00%,0,USD,0,0,1,3,0.11,33.33%,0.11
1,7/17/23,Monday,0,0,0,USD,0,0,0,2,0,0.00%,0
1,7/18/23,Tuesday,0,0,0,USD,0,0,0,2,0,0.00%,0
1,7/19/23,Wednesday,0,0.00%,0,USD,0,0,1,3,0.01,33.33%,0.01
1,7/20/23,Thursday,0,0,0,USD,0,0,0,0,0,0,0
1,7/21/23,Friday,0,0,0,USD,0,0,0,1,0,0.00%,0
1,7/22/23,Saturday,0,0,0,USD,0,0,0,2,0,0.00%,0
1,7/23/23,Sunday,0,0,0,USD,0,0,0,1,0,0.00%,0
1,7/24/23,Monday,0,0,0,USD,0,0,0,0,0,0,0
1,7/25/23,Tuesday,0,0.00%,0,USD,0,0,1,1,0.04,100.00%,0.04
